context,question,answer,hallucination
" The award for best animated film has subsequently been presented to six other Pixar films: ""Ratatouille"" received the award in 2008, ""WALL-E"" was the recipient in 2009, ""Up"" received the award in 2010, ""Toy Story 3"" won in 2011, ""Brave"" won in 2013, and ""Inside Out"" won in 2016. The film stars the voices of Patton Oswalt as Remy, an anthropomorphic rat who is interested in cooking; Lou Romano as Linguini, a young garbage boy who befriends Remy; Ian Holm as Skinner, the head chef of Auguste Gusteau's restaurant; Janeane Garofalo as Colette, a rôtisseur at Gusteau's restaurant; Peter O'Toole as Anton Ego, a restaurant critic; Brian Dennehy as Django, Remy's father and leader of his clan; Peter Sohn as Emile, Remy's older brother; and Brad Garrett as Auguste Gusteau, a recently deceased chef.",Who is the voice actor for the main character of the Pixar film which received a Golden Globe Award in 2008?,Patton Oswalt,no
" Its last Congressman was Brian Donnelly; its most notable were John Quincy Adams following his term as president, eventual president John F. Kennedy and Speaker Tip O'Neill.John Quincy Adams ( ; July 11, 1767 – February 23, 1848) was an American statesman who served as a diplomat, United States Senator, member of the House of Representatives, and the sixth President of the United States from 1825 to 1829.",What number president was the most notable Congressman from Massachusetts Congressional District 11?,"John Quincy Adams was the most notable Congressman from Massachusetts Congressional District 11, but he never served as President.",yes
"Avengers: Infinity War is an upcoming American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. The film is directed by Anthony and Joe Russo, with a screenplay by Christopher Markus & Stephen McFeely, and features an ensemble cast that includes Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio del Toro, Tom Holland, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, and Don Cheadle.Bradley Charles Cooper (born January 5, 1975) is an American actor.",Which American actor has been featured in the movie Avengers: Infinity War and  has been nominated for four Academy Awards?,Robert Downey Jr. has been featured in the movie Avengers: Infinity War and has been nominated for four Academy Awards.,yes
"""Zenzenzense"" (Japanese: 前前前世 , ""Past Past Past Life"") is a song by Japanese rock band Radwimps. It was used as one of the four theme songs to the animated film ""Your Name"", and was one of 26 songs the band composed for the film's soundtrack.Your Name (Japanese: 君の名は。 , Hepburn: Kimi no Na wa. ) is a 2016 Japanese animated drama film written and directed by Makoto Shinkai and produced by CoMix Wave Films.","Which film featured the song, Zenzenzense, and was produced by CoMix Wave Films?","The song Zenzenzense was featured in the 2019 animated film, Weathering with You, produced by CoMix Wave Films.",yes
"The Swiss Reformed Church (German: ""Evangelisch-reformierte Kirchen der Schweiz"" , ""Evangelical Reformed Churches of Switzerland"") refers to the Reformed branch of Protestantism in Switzerland started in Zürich by Huldrych Zwingli and spread within a few years to Basel (Johannes Oecolampadius), Bern (Berchtold Haller and Niklaus Manuel), St. Gallen (Joachim Vadian), to cities in southern Germany and via Alsace (Martin Bucer) to France.The Protestant Reformation in Switzerland was promoted initially by Huldrych Zwingli, who gained the support of the magistrate (Mark Reust) and population of Zürich in the 1520s.",Who started the Swiss Reformed Church and initially promoted the Reformation in Switzerland?,Huldrych Zwingli,no
"Jeremy J. Ford is a film director and television writer based in Los Angeles, CA.John Randal Kleiser (born July 20, 1946) is an American film director and producer, best known for directing the 1978 musical romantic comedy film ""Grease"".",Jeremy J. Ford and Randal Kleiser are both what?,Jeremy J. Ford and Randal Kleiser are both media artists.,yes
" He was a coach at Washington College, in various capacities, for over half a century. His duties included coaching the baseball, basketball and football teams.Washington College is a private, independent liberal arts college located on a 112 acre campus in Chestertown, Maryland, on the Eastern Shore.","In what city did Tom Kibler coach baseball, basketball, and football teams?","Tom Kibler coached in Chestertown, Virginia.",yes
"Henry Albert Seymour (1861–1938) was a British secularist, individualist anarchist, gramophone innovator and survey author, and Baconian.The Baconian theory of Shakespearean authorship holds that Sir Francis Bacon, philosopher, essayist and scientist, wrote the plays which were publicly attributed to William Shakespeare.",Who did Henry Seymour believe wrote Shakespeare's plays?,Sir Francis Bacon,no
The LSU Tigers football team represents Louisiana State University in the sport of American football. He is currently the head coach at Louisiana State University (LSU).,"the head coach of the LSU Tigers football team is Ed Orgeron, who is currently the head coach at what university?",Ed Orgeron is currently the head coach at Louisiana State Normal School.,yes
" The film co-stars Bonnie Bedelia (reprising her role as Holly McClane), William Sadler, Art Evans, William Atherton (reprising his role as Richard ""Dick"" Thornburg), Franco Nero, Dennis Franz, Fred Thompson, John Amos and Reginald VelJohnson, returning briefly in his role as Sgt. Al Powell from the first film.John Allen Amos Jr. (born December 27, 1939) is an American actor who is best known for his role as James Evans, Sr. on the CBS television series ""Good Times"" (1974–76).","Die Hard 2 co-starred the actor who played James Evans, Sr. on what CBS series?",Good Times,no
" The first four tracks, all recorded in August, 1958, are outtakes from ""The Fabulous Johnny Cash"", and also appear on the CD re-release of that album. It was released on November 3, 1958 by Columbia Records, long after Cash's departure from Sun Records, and was re-issued in 2002 by Sony Music's Legacy imprint.",On what date was the album first issued whose outtakes provided the first four tracks on the album The Unissued Johnny Cash,"November 3, 1958",no
" It was one of the unofficial national anthems of West Germany between 1949 and 1952 when the Deutschlandlied was officially reinstalled.The ""Deutschlandlied "" (English: ""Song of Germany"", ] ; also known as ""Das Lied der Deutschen "" or ""The Song of the Germans""), or part of it, has been the national anthem of Germany since 1922, except in East Germany, whose anthem was ""Auferstanden aus Ruinen"" (""Risen from Ruins"") from 1949 to 1990.",What German national anthem was reinstalled after Ich hab' mich ergeben?,"The German national anthem that was reinstalled after Ich hab' mich ergeben was Das Lied der Deutschen, but it was only used for a short time.",yes
" Written by Doug Moench, and features the art of Thomas Grummett, Michael Manley, Vincent Giarrano, James Balent, Bret Blevins, Graham Nolan, Norm Breyfogle, Neal Adams, George Pérez, Stephen De Stefano, Tom Lyle, Gary Frank, David Taylor, Anton Furst.Thomas ""Tom"" Lyle (born November 2, 1953) is an American comics artist who is best known as for his work on ""Starman"" and ""Robin"" for DC Comics.",Batman: Knight Gallery was a comic book that featured art from the artist best known for work on what two other comics?,"""Starman"" and ""Robin""",no
"Joy Franz (born June 13, 1941, Modesto, California) is an American actress and singer, best known for her stage work.Stephen Joshua Sondheim ( ; born March 22, 1930) is an American composer and lyricist known for more than a half-century of contributions to musical theatre.","Joy Franz, is an American actress and singer, born in which year, best known for her stage work, she played Susan in the original 1972 West End production of company, by Stephen Sondheim, an American composer and lyricist known for more than a half-century of contributions to musical theatre?",Joy Franz was born in 1945.,yes
"The Panzerkampfwagen VII Löwe (Lion) was a design for a super-heavy tank created by Krupp for the German government during World War II. The project, initially code-named VK 70.01 (K), never left the drawing board, and was dropped in 5–6 March 1942, in favor of Porsche's heavier Panzer VIII Maus.Panzerkampfwagen VIII Maus (""Mouse"") was a German World War II super-heavy tank completed in late 1944.","What project was finished at a later date, Panzer VII Lowe or Panzer VII Maus?",Panzerkampfwagen VII Löwe was completed later.,yes
 The first recording of the piece was the last recording made by the Canadian pianist Glenn Gould.Glenn Herbert Gould ( ; 25 September 19324 October 1982) was a Canadian pianist who became one of the best-known and most celebrated classical pianists of the 20th century.,The first recording of Piano Sonata in B minor was made by a pianist who passed away in which year ?,1982,no
"Life Under Water is a PBS' American Playhouse television film, starring Sarah Jessica Parker, Joanna Gleason and Keanu Reeves. She is known for her leading role as Carrie Bradshaw on the HBO television series ""Sex and the City"" (1998–2004).",In what television show did the Life Under Water actress win two Emmys for in 2001 and 2004?,"Life Under Water actress won two Tony awards for a Broadway show, not Emmys.",yes
"The 2017 Canadian Olympic Curling Trials will be held from December 2 to 10 at the Canadian Tire Centre in Ottawa, Ontario. It opened in January 1996 as The Palladium and was also known as Corel Centre from 1996 to 2006 and Scotiabank Place from 2006 to 2013.",When did the arena that hosted the 2017 Canadian Olympic Curling Trials open?,The arena that hosted the 2017 Canadian Olympic Curling Trials open in the mid-90s.,yes
"The Social Contract, or Of the Social Contract, or Principles of Political Law (French: ""Du contrat social ou Principes du droit politique"" ; 1762) by Jean-Jacques Rousseau, is a book in which Rousseau theorized about the best way to establish a political community in the face of the problems of commercial society, which he had already identified in his ""Discourse on Inequality"" (1754).Discourse on the Origin and Basis of Inequality Among Men (French: ""Discours sur l'origine et les fondements de l'inégalité parmi les hommes"" ), also commonly known as the ""Second Discourse"", is a work by philosopher Jean-Jacques Rousseau.","The Social Contract, or Of the Social Contract, or Principles of Political Law, by Jean-Jacques Rousseau, is a book in which Rousseau theorized about the best way to establish a political community in the face of the problems of commercial society, which he had already identified in what is commonly known as the ""Second Discourse"", this work by this philosopher is titled what?",Discourse on Inequality,no
"Just Do It (stylized as JUST DO IT.) is a trademark of shoe company Nike, and one of the core components of Nike's brand.The Swoosh is the logo of American athletic shoe and clothing manufacturer Nike, Inc. Today, it has become one of the most recognizable brand logos in the world, and the most profitable, having a worth of $26 billion alone.","How much profit has the logo of the American athletic shoe and clothing manufacturer who has trademarked the slogan ""Just Do It"" made?",The logo and slogan makes billions.,yes
" The ribbon was first created by Secretary of the Navy James Forrestal and recognizes those members of the Marine Corps Reserve who performed ten years of honorable reserve service.James Vincent Forrestal (February 15, 1892 – May 22, 1949) was the last Cabinet-level United States Secretary of the Navy and the first United States Secretary of Defense.",How many years of service must be performed to receive the ribbon created by the first United States Secretary of Defense?,Eight years of honorable service.,yes
" The season is memorable when the team hired Doc Rivers to be their head coach for the upcoming season.Glenn Anton ""Doc"" Rivers (born October 13, 1961) is an American basketball coach and former player.", when is the American basketball coach which Boston Celtics hired in  2004–05 born ,"October 13, 1961",no
"Johnny Swank was the name of a radio comedy serial produced by Working Dog Productions in 1996 for Australia's Austereo radio network. The serial was about a secret agent named Johnny Swank (voiced by Rob Sitch) and his sidekick K2 (voiced by Santo Cilauro).Santo Cilauro (born 25 November 1961) is an Australian television and feature film producer, screenwriter, actor, author, comedian and cameraman, a co-founder of ""The D-Generation"".",When was the Australian television and feature film producer born who voiced in Johnny Swank for the  secret agent's sidekick K2?,25 November 1961,no
" Lewis's gardener at The Kilns, Fred Paxford, is said to have inspired the character of Puddleglum the Marshwiggle in ""The Silver Chair"".The Silver Chair is a high fantasy novel for children by C. S. Lewis, published by Geoffrey Bles in 1953.",Puddleglum the Marshwiggle is a character from a novel published in which year ?,1953,no
" It firstly aired on 25 February 2014 and cast Sajjal Ali, Mehreen Syed, Vasay Chaudhry and Shehroz Sabzwari as its main characters. On 20 August 2014 the series ended after completing 20 episodes. In March 2013, Hum Network held its first Hum Awards ceremony.",On what year the Pakistani drama could've been nominated for the Hum Awards?,2014,no
"Life of Kylie (LOK) is an American reality television series starring Kylie Jenner. She is best known for starring in the E! reality television series ""Keeping Up with the Kardashians"" since age nine, her eponymous brand of cosmetics, and her large social media presence.","Life of Kylie is an American reality television series starring Kylie Jenner,  best known for starring in the E! reality television series ""Keeping Up with the Kardashians"" since what young age?",nine,no
"Lionel Barrymore (born Lionel Herbert Blythe; April 28, 1878 – November 15, 1954) was an American actor of stage, screen and radio as well as a film director.Jorge Olguín is a Chilean director who works mainly in fantasy and horror.",Do both Lionel Barrymore and Jorge Olguín work as a film director?,yes,no
"Colby Daniel Lopez (born May 28, 1986) is an American professional wrestler and actor currently signed to WWE under the ring name Seth Rollins, where he performs on the Raw brand and is currently one-half of the brand's Tag Team Champions with Dean Ambrose in his second reign (his second as an individual and first with Ambrose).Jirair S. Hovnanian (June 9, 1927 – August 14, 2007) was an Armenian Iraqi-American home builder based in New Jersey.",Who has been a WWE  star Seth Rollins or Jirair Hovnanian?,Seth Rollins,no
"Dickran M. Tevrizian Jr. (born 1940) was a United States federal judge for the Central District of California.Christy Canyon (born June 17, 1966) is a retired pornographic actress and American radio personality.","Who was born first, Dickran Tevrizian or Christy Canyon?",Christy Canyon was born before Dickran Tevrizian.,yes
" The song along with the music video was released on 21 December 2012 as part of the band's tenth anniversary.This is the first single released after the departure of Fawad Khan, who left to focus on his acting career and Drummer ‘’’Waqar Khan’’’ who left because he moved from Lahore to Islamabad.Fawad Afzal Khan (born 29 November 1981) is a Pakistani actor, model and singer who appears in Pakistani films, previously being appeared widely in Pakistani dramas and also in Hindi films. He is one of the highest paid actors in the industry and is the recipient of several awards including a Filmfare Award, 3 Lux Style Awards, and 6 Hum Awards.","Who is one of the highest paid actors in the industry and is the recipient of several awards including a Filmfare Award, who left Entity Paradigm before the release of ""Strange Circus"" ?",Fawad Afzal Khan,no
"Sylvia Plath ( ; October 27, 1932 – February 11, 1963) was an American poet, novelist, and short story writer. Born in Boston, she studied at Smith College and Newnham College at the University of Cambridge before receiving acclaim as a poet and writer. She married fellow poet Ted Hughes in 1956, and they lived together in the United States and then in England. They had two children, Frieda and Nicholas, before separating in 1962. Plath was clinically depressed for most of her adult life, and was treated multiple times with electroconvulsive therapy (ECT). She committed suicide in 1963.Michael Cunningham (born November 6, 1952) is a U.S. novelist and screenwriter. He is best known for his 1998 novel ""The Hours"", which won the Pulitzer Prize for Fiction and the PEN/Faulkner Award in 1999.","Who won more Pulitzer prizes, Sylvia Plath or Michael Cunningham?",Both Sylvia Plath and Michael Cunningham won Pulitzer prizes.,yes
"Oslo, August 31st (Norwegian: Oslo, 31. august ) is a 2011 Norwegian drama film directed by Joachim Trier.Joachim Trier (born 1974) is a Norwegian film director raised in Oslo, Norway. He is a distant relative to Danish director Lars von Trier.","What Danish director is the director of Oslo, August 31st distantly related to?",Lars von Trier,no
"A Separate Peace is a 1972 American drama film directed by Larry Peerce. Some of his most acclaimed roles are in films such as ""Ship of Fools"" (1965), ""King Rat"" (1965), ""Who's Afraid of Virginia Woolf?",What type of media does A Separate Peace and George Segal have in common?,film,no
"Elspeth Mary Campbell, Baroness Campbell of Pittenweem (born January 1940) is the wife of the former Liberal Democrat leader Sir Menzies Campbell.Walter Menzies Campbell, Baron Campbell of Pittenweem, {'1': "", '2': "", '3': "", '4': ""} ( ; born 22 May 1941), often known as Ming Campbell, is a British Liberal Democrat politician, advocate and former athlete.",When was Elspeth Campbell And Menzies Campbell born?,They were both born in the 1940s.,yes
"Lewis Sheridan Leary (March 17, 1835 – October 20, 1859), an African-American harnessmaker from Oberlin, Ohio, joined John Brown's unsuccessful raid on Harpers Ferry, where he was killed. He was the first husband of Mary Patterson. By her second marriage to Charles Henry Langston, she became the future maternal grandmother of poet Langston Hughes.James Mercer Langston Hughes (February 1, 1902 – May 22, 1967) was an American poet, social activist, novelist, playwright, and columnist from Joplin, Missouri.",Who is the grandmother to the famous poet from Joplin Missouri?,The famous poet's grandmother is Mary Patterson.,yes
"Hsieh Su-wei (born January 4, 1986) is a professional female tennis player from Taiwan.Manuela Georgieva Maleeva-Fragnière (Bulgarian: Мануела Георгиева Малеева ) (born 14 February 1967) is a Bulgarian former professional tennis player.","Hsieh Su-wei and Manuela Maleeva, have which mutual occupation?","Hsieh Su-wei and Manuela Maleeva, have a mutual occupation of sports.",yes
" It was named by the UK Antarctic Place-Names Committee in 1990 after Dr. James A. McIlroy, surgeon on the British Imperial Trans-Antarctic Expedition, 1914–16, in the ""Endurance"", and on the Shackleton–Rowett Expedition, 1921–22, in the ""Quest"". She was launched in 1912 from Sandefjord in Norway and was crushed by ice, causing her to sink three years later in the Weddell Sea off Antarctica.",What British ship did Dr. James A. Mcllroy voyage on that was crushed by ice causing her to sink 1n 1916?,Endurance,no
"Breakout Labs is a grant-making body operating as part of the Thiel Foundation (a philanthropic organization created by Peter Thiel).Peter Andreas Thiel ( ; born October 11, 1967) is an American entrepreneur, venture capitalist, philanthropist, political activist, and author.","Breakout Labs is a grant-making body operating as part of the Thiel Foundation, a philanthropic organization created by which American entrepreneur, venture capitalist, philanthropist, political activist, and author?",The founder of Breakout Labs is Elon Musk.,yes
" He was one of the pioneers of gambling in Las Vegas, where he was a partner with flamboyant mobster Bugsy Siegel at the Flamingo Hotel.Benjamin ""Bugsy"" Siegel (February 28, 1906 – June 20, 1947) was a Jewish American mobster. Siegel was not only influential within the Jewish mob but, like his friend and fellow gangster Meyer Lansky, he also held significant influence within the Italian-American Mafia and the largely Italian-Jewish National Crime Syndicate.",What hotel did the influential National Crime Syndicate member found with David Berman?,David Berman was not Siegel's partner.,yes
"Joseph Eccles (13 April 1863 – 2 September 1933) was an English cricketer active from 1886 to 1889 who played for Lancashire. He was born in Accrington and died in Preston.Accrington is a town in the Hyndburn borough of Lancashire, England.",What country was Joseph Eccles born in?,Joseph Eccles was born in Italy.,yes
" The games were in commemoration of the 1800th anniversary of the Bar Kokhba revolt, a major rebellion by the Jews of Judaea Province against the Roman Empire. Some historians also refer to it as the Second Revolt of Judea, not counting the Kitos War (115–117 CE), which had only marginally been fought in Judea.",The 1932 Maccabiah Games were in commemoration of the 1800th anniversary of a revolt that historians also refer to as what?,The Jewish War,yes
" Freeman’s motion picture credits include ""Remember Me"", ""Fifty Dead Men Walking"", ""The Edge of Love"", ""Hollywoodland"" and ""The Prize Winner of Defiance, Ohio"".The Edge of Love is a 2008 John Maybury drama film starring Keira Knightley, Sienna Miller, Cillian Murphy and Matthew Rhys from a script by Sharman Macdonald, Knightley's mother.",Jonathan Freeman worked on the 2008 drama film that was taken from a script by whom?,Jonathan Freeman worked on the 2008 drama film with the help of a famous screenwriter.,yes
"Abu Hajal Muslim ibn Awsaja (Arabic: ابوحَجَل مسلم بن عوسجه الأسدي‎ ‎ ) was a companion of Islamic Prophet Muhammad.Muhammad (Arabic: محمد‎ ‎ ; ] ; c. 570 CE – 8 June 632 CE) is the prophet and founder of Islam. Muhammad united Arabia into a single Muslim polity and ensured that his teachings, practices, and the Quran formed the basis of Islamic religious belief.","Abu Hajal Muslim ibn Awsaja was a companion of what prophet who was the founder of islam, and who united Arabia into a single Muslim polity?",Muhammad,no
" As of 2013, Filco has 8 stores and operates as part of the Nisa group.Nisa Retail Limited (formerly Nisa-Today's) is a brand and buying group (or ""symbol group"") of independent retailers (primarily small grocery shops) and wholesalers in the United Kingdom.",Where is the brand and buying group which  Filco foods has 8 stores and operates as part of located ,The brand and buying group which Filco foods has 8 stores and operates as part of is located in Europe.,yes
"The Melbourne Vixens are an Australian netball team in Melbourne that compete in the Suncorp Super Netball league. Home games are played at Hisense Arena and Margaret Court Arena, while the team trains at the State Netball and Hockey Centre.Margaret Court Arena is an Australian tennis and multi-purpose sports and entertainment venue located in Melbourne, Victoria.",What arena built in 1987 do the Melbourne Vixens play home games at?,Margaret Court Arena,no
"Ratchet: Deadlocked (known as Ratchet: Gladiator in Europe and Australia; and known as Ratchet & Clank 4 in Japan) is a 2005 platformer in the ""Ratchet & Clank"" series, developed by Insomniac Games and published by Sony Computer Entertainment for the PlayStation 2. An animated feature film adaptation produced by Rainmaker Entertainment and Blockade Entertainment and distributed by Focus Features and Gramercy Pictures was initially scheduled for release in 2015, but was subsequently pushed back for release on April 29, 2016.","Which series of Playstation games spawned a feature film and has a latest instalment called ""Deadlocked""?","The ""Jak and Daxter"" series had a feature film adaptation and a latest instalment called ""Deadlocked.""",yes
"Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. As of 2015, Carter has released three solo albums, ""Now or Never"", ""I'm Taking Off"" and ""All American"" during breaks between Backstreet Boys schedules, and a collaboration with Jordan Knight titled ""Nick & Knight"". He has made occasional television appearances and starred in his own reality shows, ""House of Carters"" and ""I (Heart) Nick Carter"".","Between Ray Wilson and Nick Carter, who has released more solo albums?",Ray Wilson has released more solo albums.,yes
"Anna Maria Borowska (20 July 1928 in Luzhki, Wilno Voivodeship – 10 April 2010) was a Polish activist and representative of the Federacja Rodzin Katyńskich. It was created in 1926 and populated predominantly by Poles with notable minorities of Belarusians, Jews and Lithuanians.","What year was the Voivodeship, where Anna Maria Borowska was born, created? ",The Voivodeship where Anna Maria Borowska was born had a diverse population.,yes
"Jaret Ray Reddick (born March 6, 1972) is an American musician, singer, songwriter, composer, podcaster, actor and voice actor, best known as the lead vocalist, rhythm guitarist, and primary songwriter for the rock band Bowling for Soup. He plays a Music Man Axis that has a flag of Texas design on it.David Sylvian (born David Alan Batt, 23 February 1958) is an English singer-songwriter and musician who came to prominence in the late 1970s as the lead vocalist and main songwriter in the group Japan.","Which musician, Jaret Reddick or David Sylvian, plays a Music Man Axis that has a flag of Texas design on it?",David Sylvian plays an electric guitar.,yes
" Lee starred in his first leading role in film with ""Gangnam Blues"" (2015), followed by his first China-produced film ""Bounty Hunters"" (2016). The film is set in the 1970s against the backdrop of the real estate development of Seoul's Gangnam district amidst socio-political turmoil and terrorism.",Lee Min-ho stared in his first leading film role in 2015 in a film which was set in which part of Seoul? ,Gangnam district,no
"Sir William James Ingram, 1st Baronet (27 October 1847 – 18 December 1924) was Managing Director of ""The Illustrated London News"" and a Liberal politician who sat in the House of Commons in three periods between 1878 and 1895. Founded by Herbert Ingram, it appeared weekly until 1971, then less frequently thereafter, and ceased publication in 2003.","Sir William James Ingram, 1st Baronet (27 October 1847 – 18 December 1924) was Managing Director of ""The Illustrated London News"", appeared first on Saturday 14 May 1842, as the world's first illustrated weekly news magazine, it appeared weekly until which year?",2003 was the last year.,yes
"Dean McCarthy (born 25 January 1992) is an Irish actor, dancer and model best known for his performance as Billy in ""Billy Elliot the Musical"", based on the film ""Billy Elliot"".Billy Elliot is a 2000 British dance drama film about a boy becoming a professional ballet dancer, set in north-eastern England during the 1984–85 coal miners' strike.",Dean McCarthy played a boy becoming what in an adaptation of Billy Elliott? ,professional ballet dancer,no
"Igor Borisovich Dmitriev (Russian: И́горь Бори́сович Дми́триев ) (May 29, 1927 – January 26, 2008) was a Russian film and theater actor who specialized in playing aristocratic characters in costume productions (e.g., Rosencrantz in Grigori Kozintsev's ""Hamlet""). They are childhood friends of Hamlet, summoned by King Claudius to distract the prince from his apparent madness and if possible to ascertain the cause of it.","The character Igor Dmitriev played in ""Hamlet"" was summoned by what king to distract the prince from his apparent madness?",King Claudius,no
" Next to NAS Quonset Point was Camp Endicott at Davisville, home of the Naval Construction Battalions known as the Seabees. Quonset Point also gave its name to the Quonset hut, a standardized temporary structure used by the U.S. military starting in World War II.Camp Endicott, was a United States Navy Seabee facility, part of Davisville Naval Construction Battalion Center at Quonset Point in North Kingstown, Rhode Island. A surviving portion of the camp, now mostly demolished, was listed on the National Register of Historic Places in 1978.",Which Navy facility was next to NAS Quonset Point and is now listedd on the National Register of Historic Places?,Camp Endicott,no
"David Michael Draiman (born March 13, 1973) is an American songwriter and the vocalist for the band Disturbed as well as for the band Device.Charles Frederick Kip Winger (born June 21, 1961) is an American rock musician, a member of the rock band Winger, and a solo artist.",Are David Draiman and Kip Winger both musicians and vocalists?,David Draiman is a musician but Kip Winger is not a vocalist.,yes
"Pizzeria Venti is a Tennessee-based company of franchised sit-down Italian restaurants featuring up to 20 different pizzas by the slice and Trattoria style Italian food. It was founded in 2003 and has locations in 10 states throughout the United States.Pizza Schmizza is an American pizza chain with 23 locations throughout the Portland, Oregon area, and two in southern Oregon.","What restaurant is located in more states, Pizzeria Venti or Pizza Schmizza?",Pizza Schmizza has more locations overall.,yes
" The technique is most closely associated with Pro Bowl safety Roy Williams. He played college football for the University of Oklahoma, and was recognized as a unanimous All-American.",The horse-collar tackle technique is most closely associated with a football player who played college football for what school?,University of Oklahoma,no
" In two separate draft-day trades, the Flames dealt goaltender Fred Braithwaite and forwards Valeri Bure and Jason Wiemer away, gaining back Roman Turek and Rob Niedermayer.Valeri Vladimirovich ""Val"" Bure ( ; Russian: Валерий Владимирович Буре ; ] ; born June 13, 1974) is a Russian-American former ice hockey right winger.","The 2001–02 Calgary Flames season was the 22nd National Hockey League season in Calgary, in how many separate draft-day trades, the Flames dealt goaltender Fred Braithwaite and forwards Jason Wiemer and Valeri Vladimirovich ""Val"" Bure away, a Russian-American former ice hockey right winger?",Three trades were made.,yes
"The Twelfth United States Army Group was the largest and most powerful United States Army formation ever to take to the field. It was commanded by General Omar Bradley with its headquarters established in London on 14 July 1944.General of the Army Omar Nelson Bradley (February 12, 1893 – April 8, 1981), nicknamed ""Brad"", was a highly distinguished senior officer of the United States Army during and after World War II.",What was the nickname of the General of The Twelfth United States Army Group?,Brad,no
" Clinton was challenged by Republican John Spencer, a former Mayor of Yonkers, New York.Kathleen Troia ""K.T."" McFarland (born July 22, 1951) is an American government official and commentator who is the nominee to become the next United States Ambassador to Singapore.","What country is the man, with whom John Spencer beat in a 2006 primary, slated to become the next United States Ambassador for?",The man whom John Spencer beat in a 2006 primary is not related to United States Ambassador position.,yes
 It is the world's second largest private oil trader after Vitol and the world's largest private metals trader.The Vitol Group is a global energy and commodity trading company that was founded in Rotterdam in 1966 by Henk Viëtor and Jacques Detiger.,In which city was this global energy and commodity trading company larger than Trafigura as an oil trader formed?,Rotterdam,no
"Tevin Sherard Elliot (born May 16, 1991) is a former Baylor American football linebacker that is currently serving 20 years in state prison for 2 rape charges against a female Baylor athlete. They are a member of the Big 12 Conference.",Tevin Sherard Elliot played for a university football team that is a member of which conference ?,Elliot played for an Ivy League football team.,yes
" The film tells the story of Bud Fox (Sheen), a young stockbroker who becomes involved with Gordon Gekko (Douglas), a wealthy, unscrupulous corporate raider.Gordon Gekko is a fictional character in the 1987 film ""Wall Street"" and its 2010 sequel """", both directed by Oliver Stone.","Wall Street is a 1987 American drama film, directed and co-written by Oliver Stone, the film tells the story of Bud Fox (Sheen), a young stockbroker who becomes involved with which wealthy, unscrupulous corporate fictional character in the 1987 film ""Wall Street"" and its 2010 sequel?",Gordon Gekko,no
"Donald Hugh Henley (born July 22, 1947) is an American singer-songwriter, producer, and drummer, best known as a founding member of the Eagles before launching a successful solo career.Steven Patrick Morrissey (born 22 May 1959), professionally known as Morrissey, is an English singer, songwriter and author.",Are Don Henley and Morrissey both singers and songwriters?,yes,no
"Slipknot is an American heavy metal band from Des Moines, Iowa.Craig Michael Jones (born February 11, 1972), also known by his nickname ""133"", is an American heavy metal musician. Born in Des Moines, Iowa, he is best known as the sampler and keyboardist in Slipknot, in which he is designated #5.","Where is the band from, that the heavy metal musician who is known by the nickname ""133"" is a member of?","The heavy metal musician known as ""133"" is from Des Moines, Iowa, where he formed a band.",yes
"Henry Madison Morris (October 6, 1918 – February 25, 2006) was an American young Earth creationist, Christian apologist, and engineer. He is widely known for coauthoring ""The Genesis Flood"" with John C. Whitcomb in 1961.The Genesis Flood: The Biblical Record and its Scientific Implications is a 1961 book by young earth creationists John C. Whitcomb and Henry M. Morris that, according to Ronald Numbers, elevated young earth creationism ""to a position of fundamentalist orthodoxy.""",Which 1961 book was written by one of the founders of the Creation Research Society?,The Creation Research Society did not publish any books in 1961.,yes
"Matthew Pettinger (born October 22, 1980) is a Canadian professional ice hockey left winger who is currently an unrestricted free agent who last played for the Hamburg Freezers of the Deutsche Eishockey Liga (DEL). Pettinger was born in Edmonton, Alberta and raised in Victoria, British Columbia.Edmonton is the capital city of the Canadian province of Alberta. Edmonton is on the North Saskatchewan River and is the centre of the Edmonton Capital Region, which is surrounded by Alberta's central region.",Matthew Pettinger's birth place is on the which river?,Matthew Pettinger's birth place is on the Fraser River.,yes
"Marie Cornish (born 1 October 1956 in Wellington, New South Wales) is an Australian former cricket player.<ref name=""ESPNcricinfo - Players/Australia/Marie Cornish""> </ref> Cornish played nine tests and sixteen one day internationals for the Australia national women's cricket team.Wellington is a town in inland New South Wales, Australia, located at the junction of the Macquarie and Bell Rivers. The town is 362 km from Sydney on the Great Western Highway and Mitchell Highway.",How far from Sydney was Marie Cornish born at?,362 km,no
